,098660
2009-04-17,4796
2009-04-20,4087
2009-04-21,3474
2009-04-22,3457
2009-04-23,3236
2009-04-24,3103
2009-04-27,2903
2009-04-28,2581
2009-04-29,2719
2009-04-30,2607
2009-05-04,2627
2009-05-06,2732
2009-05-07,2623
2009-05-08,2623
2009-05-11,2631
2009-05-12,2535
2009-05-13,2445
2009-05-14,2339
2009-05-15,2494
2009-05-18,2486
2009-05-19,2578
2009-05-20,2594
2009-05-21,2828
2009-05-22,2715
2009-05-25,2510
2009-05-26,2418
2009-05-27,2418
2009-05-28,2460
2009-05-29,2440
2009-06-01,2486
2009-06-02,2468
2009-06-03,2445
2009-06-04,2445
2009-06-05,2402
2009-06-08,2361
2009-06-09,2273
2009-06-10,2278
2009-06-11,2194
2009-06-12,2181
2009-06-15,2144
2009-06-16,2173
2009-06-17,2315
2009-06-18,2228
2009-06-19,2098
2009-06-22,2128
2009-06-23,1981
2009-06-24,1877
2009-06-25,1944
2009-06-26,2036
2009-06-29,1990
2009-06-30,1906
2009-07-01,1941
2009-07-02,1960
2009-07-03,1973
2009-07-06,2004
2009-07-07,2002
2009-07-08,1962
2009-07-09,1954
2009-07-10,1967
2009-07-13,1885
2009-07-14,1852
2009-07-15,1883
2009-07-16,1870
2009-07-17,1848
2009-07-20,1858
2009-07-21,1935
2009-07-22,1912
2009-07-23,1864
2009-07-24,1835
2009-07-27,1846
2009-07-28,1848
2009-07-29,1819
2009-07-30,1827
2009-07-31,1827
2009-08-03,1825
2009-08-04,1829
2009-08-05,1822
2009-08-06,1827
2009-08-07,1841
2009-08-10,1822
2009-08-11,1919
2009-08-12,1868
2009-08-13,1852
2009-08-14,1885
2009-08-17,1819
2009-08-18,1780
2009-08-19,1780
2009-08-20,1783
2009-08-21,1722
2009-08-24,1700
2009-08-25,1635
2009-08-26,1664
2009-08-27,1626
2009-08-28,1647
2009-08-31,1673
2009-09-01,1673
2009-09-02,1647
2009-09-03,1611
2009-09-04,1619
2009-09-07,1614
2009-09-08,1622
2009-09-09,1614
2009-09-10,1705
2009-09-11,1701
2009-09-14,1700
2009-09-15,1720
2009-09-16,1737
2009-09-17,1690
2009-09-18,1722
2009-09-21,1677
2009-09-22,1698
2009-09-23,1690
2009-09-24,1600
2009-09-25,1589
2009-09-28,1585
2009-09-29,1591
2009-09-30,1608
2009-10-01,1566
2009-10-05,1546
2009-10-06,1511
2009-10-07,1476
2009-10-08,1493
2009-10-09,1539
2009-10-12,1560
2009-10-13,1535
2009-10-14,1553
2009-10-15,1662
2009-10-16,1673
2009-10-19,1640
2009-10-20,1640
2009-10-21,1655
2009-10-22,1612
2009-10-23,1668
