,순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
0,1,005930,삼성전자,"58,600","3,000",5.4,"48,431,566","2,803,148,376,939","57,000","58,800","56,400","349,829,257,430,000",19.07,"5,969,782,550",,,2476.0
1,2,000660,SK하이닉스,"83,100",300,0.4,"4,538,720","378,147,743,500","83,900","83,900","82,700","60,496,996,531,500",3.3,"728,002,365",,,
2,3,207940,삼성바이오로직스,"761,000","7,000",0.9,"167,728","128,162,881,500","764,000","771,000","760,000","50,351,565,000,000",2.74,"66,165,000",,,
3,4,035420,NAVER,"288,000","3,500",1.2,"978,238","282,133,831,000","289,500","292,000","284,000","47,307,857,760,000",2.58,"164,263,395",,,
4,5,068270,셀트리온,"317,500",500,0.2,"666,062","212,455,859,000","323,500","324,000","316,000","42,843,254,737,500",2.34,"134,939,385",,,
5,7,051910,LG화학,"528,000","11,000",2.1,"372,041","196,245,903,000","526,000","532,000","521,000","37,272,757,104,000",2.03,"70,592,343",,,
6,8,035720,카카오,"329,500","3,000",0.9,"873,063","289,967,787,500","332,000","336,000","328,500","28,945,309,061,000",1.58,"87,846,158",,,
7,9,006400,삼성SDI,"393,000","15,000",4.0,"1,061,859","415,716,361,500","387,000","397,000","381,500","27,024,460,290,000",1.47,"68,764,530",,,
8,10,005380,현대차,"123,000",-500,-0.4,"1,765,179","217,376,981,000","124,500","126,000","122,000","26,281,187,001,000",1.43,"213,668,187",,,
9,11,051900,LG생활건강,"1,350,000","4,000",0.3,"37,319","50,113,969,000","1,335,000","1,352,000","1,325,000","21,084,565,950,000",1.15,"15,618,197",,,
10,12,028260,삼성물산,"108,500","2,000",1.9,"554,410","60,264,967,500","107,500","110,000","107,000","20,277,248,288,500",1.11,"186,887,081",,,
11,13,012330,현대모비스,"204,000",500,0.2,"333,839","68,085,272,000","204,500","206,000","202,500","19,391,157,576,000",1.06,"95,054,694",,,
